Name;Team;Position;Heigth;Weigth;Age
Adam Donachie;BAL;Point Guard;78.27;171.00;22.99
Paul Bako;BAL;Point Guard;78.27;204.25;34.69
Ramon Hernandez;BAL;Point Guard;76.15;199.50;30.78
Kevin Millar;BAL;Center;76.15;199.50;35.43
Chris Gomez;BAL;Center;77.21;178.60;35.71
Brian Roberts;BAL;Small Forward;72.98;167.20;29.39
Miguel Tejada;BAL;Power Forward;72.98;198.55;30.77
Melvin Mora;BAL;Small Forward;75.10;190.00;35.07
Aubrey Huff;BAL;Small Forward;80.38;219.45;30.19
Adam Stern;BAL;Shooting Guard;75.10;171.00;27.05
Jeff Fiorentino;BAL;Shooting Guard;77.21;178.60;23.88
Freddie Bynum;BAL;Shooting Guard;77.21;171.00;26.96
Nick Markakis;BAL;Shooting Guard;78.27;175.75;23.29
Brandon Fahey;BAL;Shooting Guard;78.27;152.00;26.11
Corey Patterson;BAL;Shooting Guard;72.98;171.00;27.55
Jay Payton;BAL;Shooting Guard;74.04;175.75;34.27
Jay Gibbons;BAL;Small Forward;76.15;187.15;30
Erik Bedard;BAL;Point Guard;77.21;179.55;27.99
Hayden Penn;BAL;Point Guard;79.33;175.75;22.38
Adam Loewen;BAL;Point Guard;82.50;208.05;22.89
Daniel Cabrera;BAL;Point Guard;83.56;218.50;25.76
Steve Trachsel;BAL;Point Guard;80.38;194.75;36.33
Jaret Wright;BAL;Point Guard;78.27;218.50;31.17
Kris Benson;BAL;Point Guard;80.38;185.25;32.31
Scott Williamson;BAL;Center;76.15;171.00;31.03
John Parrish;BAL;Center;75.10;182.40;29.26
Danys Baez;BAL;Center;79.33;213.75;29.47
Chad Bradford;BAL;Center;81.44;192.85;32.46
Jamie Walker;BAL;Center;78.27;185.25;35.67
Brian Burres;BAL;Center;77.21;172.90;25.89
Kurt Birkins;BAL;Center;78.27;178.60;26.55
James Hoey;BAL;Center;82.50;190.00;24.17
Sendy Rleal;BAL;Center;77.21;171.00;26.69
Chris Ray;BAL;Center;79.33;190.00;25.13
Jeremy Guthrie;BAL;Center;77.21;190.00;27.9
A.J. Pierzynski;CWS;Point Guard;79.33;232.75;30.17
Toby Hall;CWS;Point Guard;79.33;228.00;31.36
Paul Konerko;CWS;Center;78.27;204.25;30.99
Tadahito Iguchi;CWS;Small Forward;72.98;175.75;32.24
Juan Uribe;CWS;Power Forward;75.10;166.25;27.61
Alex Cintron;CWS;Power Forward;78.27;189.05;28.2
