NOM^EQUIP^POSICIO^ALTURA^GRUIX^EDAT
Adam Donachie^BAL^Base^198.81^76.95^22
Paul Bako^BAL^Base^198.81^91.91^34
Ramon Hernandez^BAL^Base^193.42^89.78^30
Kevin Millar^BAL^Pivot^193.42^89.78^35
Chris Gomez^BAL^Pivot^196.11^80.37^35
Brian Roberts^BAL^Aler^185.37^75.24^29
Miguel Tejada^BAL^Ala-pivot^185.37^89.35^30
Melvin Mora^BAL^Aler^190.75^85.5^35
Aubrey Huff^BAL^Aler^204.17^98.75^30
Adam Stern^BAL^Escorta^190.75^76.95^27
Jeff Fiorentino^BAL^Escorta^196.11^80.37^23
Freddie Bynum^BAL^Escorta^196.11^76.95^26
Nick Markakis^BAL^Escorta^198.81^79.09^23
Brandon Fahey^BAL^Escorta^198.81^68.4^26
Corey Patterson^BAL^Escorta^185.37^76.95^27
Jay Payton^BAL^Escorta^188.06^79.09^34
Jay Gibbons^BAL^Aler^193.42^84.22^30
Erik Bedard^BAL^Base^196.11^80.8^27
Hayden Penn^BAL^Base^201.5^79.09^22
Adam Loewen^BAL^Base^209.55^93.62^22
Daniel Cabrera^BAL^Base^212.24^98.33^25
Steve Trachsel^BAL^Base^204.17^87.64^36
Jaret Wright^BAL^Base^198.81^98.33^31
Kris Benson^BAL^Base^204.17^83.36^32
Scott Williamson^BAL^Pivot^193.42^76.95^31
John Parrish^BAL^Pivot^190.75^82.08^29
Danys Baez^BAL^Pivot^201.5^96.19^29
Chad Bradford^BAL^Pivot^206.86^86.78^32
Jamie Walker^BAL^Pivot^198.81^83.36^35
Brian Burres^BAL^Pivot^196.11^77.81^25
Kurt Birkins^BAL^Pivot^198.81^80.37^26
James Hoey^BAL^Pivot^209.55^85.5^24
Sendy Rleal^BAL^Pivot^196.11^76.95^26
Chris Ray^BAL^Pivot^201.5^85.5^25
Jeremy Guthrie^BAL^Pivot^196.11^85.5^27
A.J. Pierzynski^CWS^Base^201.5^104.74^30
Toby Hall^CWS^Base^201.5^102.6^31
Paul Konerko^CWS^Pivot^198.81^91.91^30
